date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:18	1489/1489	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Mar%202025%2008:16:18%20GMT	https://designpro-html.vercel.app/robots.txt		(from )
13:46:18	52251/52251	---MCZ	200	added ('OK')	text/html	etag:W/%220ac75f004cc9b5be301977eee718732a%22	https://designpro-html.vercel.app/	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/index.html	(from )
13:46:18	3305/3305	---M--	200	added ('OK')	image/png	etag:%22404aef780294576114ce9bbf418e509f%22	https://designpro-html.vercel.app/assets/images/favicon.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/favicon.png	(from https://designpro-html.vercel.app/)
13:46:19	138761/138761	---MCZ	200	added ('OK')	text/css	etag:W/%220deed30e0f0fe92cbe812953f468c94e%22	https://designpro-html.vercel.app/assets/fonts/remixicon.css	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/fonts/remixicon.css	(from https://designpro-html.vercel.app/)
13:46:19	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2230b593b71d7672658f89bfea0ab360c9%22	https://designpro-html.vercel.app/assets/css/magnific-popup.css	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/css/magnific-popup.css	(from https://designpro-html.vercel.app/)
13:46:19	1346/1346	---MCZ	200	added ('OK')	text/css	etag:W/%229d5ef90dd87e00f259da4c761e2f0995%22	https://designpro-html.vercel.app/assets/css/slick.min.css	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/css/slick.min.css	(from https://designpro-html.vercel.app/)
13:46:20	26911/26911	---MCZ	200	added ('OK')	text/css	etag:W/%226f5c65f8a83a48a5d27fd3e975b30faf%22	https://designpro-html.vercel.app/assets/css/output.css	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/css/output.css	(from https://designpro-html.vercel.app/)
13:46:20	7554/7554	---M--	200	added ('OK')	image/png	etag:%2212b53e2df6b0bf742e2338373e6f72d3%22	https://designpro-html.vercel.app/assets/images/logos/logo.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/logos/logo.png	(from https://designpro-html.vercel.app/)
13:46:20	27670/27670	---M--	200	added ('OK')	image/png	etag:%22fe7364b0781ffdcdc347c296ec77b3c7%22	https://designpro-html.vercel.app/assets/images/shapes/shape1.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/shapes/shape1.png	(from https://designpro-html.vercel.app/)
13:46:21	35462/35462	---M--	200	added ('OK')	image/png	etag:%22e59d8047ccac111f8bbbaad4f79c15c8%22	https://designpro-html.vercel.app/assets/images/shapes/shape2.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/shapes/shape2.png	(from https://designpro-html.vercel.app/)
13:46:21	16609/16609	---M--	200	added ('OK')	image/png	etag:%22ff07bed69ec3f1631fe8272bb434601d%22	https://designpro-html.vercel.app/assets/images/shapes/work-scribble.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/shapes/work-scribble.png	(from https://designpro-html.vercel.app/)
